"","id","name","projectcode","type","startdate","enddate","moratorium","imis_dataset_id","latitude","longitude"
"55",15,"2012 Leopoldkanaal","2012_leopoldkanaal","animal",NA,NA,"0",5873,NA,NA
"56",622,"2015 Fint","2015_fint","animal",NA,NA,"1",5858,NA,NA
"57",20,"2011 Rivierprik","2011_rivierprik","animal",NA,NA,"0",5867,NA,NA
"58",17,"2015 PhD Verhelst","2015_phd_verhelst","animal",NA,NA,"1",5850,NA,NA
"59",636,"Jersey Coastal Fish Tracking","Jersey_Coastal","network",NA,NA,"0",NA,NA,NA
"60",637,"Jersey Coastal Fish Tracking","Jersey_Coastal","animal",NA,NA,"1",NA,NA,NA
"61",633,"Limfjord","Limfjord","network",NA,NA,"0",NA,56.9,9.1
"62",640,"Inforbiomares","Inforbiomares","network",NA,NA,"0",NA,38.4345,-9.06169
"63",641,"BECORV","BECORV","network",NA,NA,"0",NA,38.68273,-9.25165
"64",635,"SVNL-FISH-WATCH","SVNL-FISH-WATCH","network",2018-04-01,2018-06-30,"0",NA,51.777749,4.213539
"65",646,"ARAISOLA01","ARAISOLA01","animal",2004-03-01,2004-06-30,"0",NA,38.213,13.23539
"66",642,"ARAISOLA02","ARAISOLA02","animal",2008-04-01,2008-06-30,"0",NA,38.213,13.23539
"67",643,"ARAISOLA03","ARAISOLA03","animal",2015-10-01,2015-11-30,"0",NA,38.213,13.23539
"68",644,"SARTELARAM","SARTELARAM","animal",2004-10-01,2004-11-30,"0",NA,38.03668,12.92499
"69",647,"MBA_Whitsand","MBA_Whitsand","network",NA,NA,"0",NA,50.326,-4.256
"70",645,"SARTELZINGARO","SARTELZINGARO","animal",2009-11-01,2010-05-31,"0",NA,38.09775,12.80297
"71",648,"MBA_Massmo","MBA_Massmo","network",NA,NA,"0",NA,50.24,-4.06
"72",649,"MBA_Wavehub","MBA_Wavehub","network",NA,NA,"0",NA,50.365,-5.611
"73",650,"ARAISOLA01","ARAISOLA01","network",2004-03-01,2004-06-30,"0",NA,38.213,13.23539
"74",651,"ARAISOLA02","ARAISOLA02","network",2008-04-01,2008-06-30,"0",NA,38.213,13.23539
"75",652,"ARAISOLA03","ARAISOLA03","network",2015-10-01,2015-11-30,"0",NA,38.213,13.23539
"76",653,"SARTELARAM","SARTELARAM","network",2004-10-01,2004-11-30,"0",NA,38.03668,12.92499
"77",654,"SARTELZINGARO","SARTELZINGARO","network",2009-11-01,2010-05-31,"0",NA,38.09775,12.80297
