"detections_transmitter","tags_type","tags_model","tags_tag_code_space","tags_owner_pi","tags_owner_organization","tags_min_delay","tags_max_delay","tags_frequency","tags_acoustic_tag_type","animals_person_id","animals_animal_id","animals_scientific_name","animals_length","animals_length_type","animals_length_units","animals_length2","animals_length2_type","animals_length2_units","animals_weight_units","animals_sex","animals_life_stage","animals_capture_location","animals_capture_depth","animals_utc_release_date_time","animals_comments","animals_wild_or_hatchery","animals_treatment_type","animals_surgery_location","animals_date_of_surgery","animals_anaesthetic","animals_anaesthetic_concentration","animals_catched_date_time","animals_tag_fk","animals_capture_latitude","animals_capture_longitude","animals_release_latitude","animals_release_longitude","animals_date_modified","animals_date_created","animals_release_location","animals_length3","animals_length3_type","animals_length3_units","animals_length4","animals_length4_type","animals_length4_units","animals_weight","animals_end_date_tag","animals_capture_method","animals_project_fk","animal_project_project","animal_project_name","animal_project_projectcode","animal_project_moratorium","detections"
"A69-1601-13730","internal","V13-1x","A69-1601-13730","KLAAS DENEUDT","VLAAMS INSTITUUT VOOR DE ZEE",60,180,"069k","animal",30,"A56","Gadus morhua",38,"total length","cm",,"","","","","","C05 Belwind",,"2015-06-30 00:00:00"," ; durif_index : ","wild","INTERNAL TAGGING","C05 Belwind","2015-06-30","","","2015-06-30 00:00:00",414,,,,,"2016-02-02 11:28:21","2016-02-02 11:28:21","C05 Belwind",,"","",,"","",,"2016-06-24","LINE FISHING",17,"LifeWatch","Phd Verhelst","phd_verhelst",1,83
"A69-1601-14870","internal","V13-1x","A69-1601-14870","JAN REUBENS","VLAAMS INSTITUUT VOOR DE ZEE",110,250,"069k","animal",30,"A36","Gadus morhua",47,"total length","cm",,"","","","","","Spijkerplaat (thv Stella)",,"2015-02-12 00:00:00"," ; durif_index : ","wild","INTERNAL TAGGING","Spijkerplaat (thv Stella)","2015-02-12","","","2015-02-12 00:00:00",442,,,,,"2016-02-02 11:28:21","2016-02-02 11:28:21","Spijkerplaat (thv Stella)",,"","",,"","",,"2016-07-10","LINE FISHING",17,"LifeWatch","Phd Verhelst","phd_verhelst",1,18
"A69-1601-14872","internal","V13-1x","A69-1601-14872","JAN REUBENS","VLAAMS INSTITUUT VOOR DE ZEE",110,250,"069k","animal",30,"A38","Gadus morhua",51,"total length","cm",,"","","","","","Spijkerplaat (thv Stella)",,"2015-02-12 00:00:00"," ; durif_index : ","wild","INTERNAL TAGGING","Spijkerplaat (thv Stella)","2015-02-12","","","2015-02-12 00:00:00",444,,,,,"2016-02-02 11:28:21","2016-02-02 11:28:21","Spijkerplaat (thv Stella)",,"","",,"","",,"2016-07-10","LINE FISHING",17,"LifeWatch","Phd Verhelst","phd_verhelst",1,39
"A69-1601-26448","internal","V13-1x","A69-1601-26448","ANS MOUTON","INST. VOOR NATUUR-&",80,160,"069k","animal",40,"","Anguilla anguilla",82.6,"total length","cm",43,"pectoral fin","mm","g","F","FV","Turbinefuik Ham",,"2014-10-01 00:00:00","; durif_index :","wild","INTERNAL TAGGING","","","","","2014-10-01 00:00:00",313,51.097779,5.105165,50.614681,5.604782,"2016-12-08 07:49:59","2016-02-02 11:28:21","SA Grosse Batte Ourthe",11.7,"horizontal eye diameter","mm",11.6,"verticale eye diameter","mm",1102,"2019-01-30","",18,"Albertkanaal","Albertkanaal 2013","albert2013",1,3
"A69-1601-26470","internal","V13-1x","A69-1601-26470","ANS MOUTON","INST. VOOR NATUUR-&",80,160,"069k","animal",40,"","Anguilla anguilla",80.4,"total length","cm",41.3,"pectoral fin","mm","g","F","FV","SO Genk afvoerriool",,"2014-10-09 00:00:00","; durif_index :","wild","INTERNAL TAGGING","","","","","2014-10-09 00:00:00",335,50.9356423,5.4970086,50.614681,5.604782,"2016-12-08 08:03:49","2016-02-02 11:28:21","uitzet Genk SO1",10.5,"horizontal eye diameter","mm",10,"verticale eye diameter","mm",987,"2019-02-07","",18,"Albertkanaal","Albertkanaal 2013","albert2013",1,64
"A69-1601-26481","internal","V13-1x","A69-1601-26481","ANS MOUTON","INST. VOOR NATUUR-&",80,160,"069k","animal",40,"","Anguilla anguilla",77.5,"total length","cm",38.9,"pectoral fin","mm","g","F","FV","Diepenbeek",,"2014-10-14 00:00:00","; durif_index :","wild","INTERNAL TAGGING","","","","","2014-10-14 00:00:00",346,,,50.614681,5.604782,"2016-12-08 08:22:04","2016-02-02 11:28:21","Diepenbeek",10.4,"horizontal eye diameter","mm",9.3,"verticale eye diameter","mm",921,"2019-02-12","",18,"Albertkanaal","Albertkanaal 2013","albert2013",1,70
"A69-1601-26530","internal","V13-1x","A69-1601-26530","ANS MOUTON","INST. VOOR NATUUR-&",80,160,"069k","animal",50,"","Silurus glanis",64.5,"total length","cm",,"","","g","","","Aa Grobbendonk",,"2014-05-26 13:30:00"," ; durif_index : ","wild","INTERNAL TAGGING","","","","","2014-05-26 00:00:00",395,51.193606,4.755716,50.991246,5.0403814,"2016-02-02 11:28:21","2016-02-02 11:28:21","fietsersbrug (locatie 1ste extra receiver)",,"","",,"","",1595,"2018-09-24","",21,"Demer","Demer 2014","demer2014",1,19
"A69-1601-26534","internal","V13-1x","A69-1601-26534","ANS MOUTON","INST. VOOR NATUUR-&",80,160,"069k","animal",50,"","Silurus glanis",125,"total length","cm",,"","","g","","","Kleine Nete Grobbendonk",,"2014-05-26 13:30:00"," ; durif_index : ","wild","INTERNAL TAGGING","","","","","2014-05-26 00:00:00",399,51.193606,4.755716,50.991246,5.0403814,"2016-02-02 11:28:21","2016-02-02 11:28:21","fietsersbrug (locatie 1ste extra receiver)",,"","",,"","",15000,"2018-09-24","",21,"Demer","Demer 2014","demer2014",1,105
"A69-1601-28297","internal","V13-1x","A69-1601-28297","DAVID BUYSSE","LIFEWATCH-INBO",45,95,"069k","animal",50,"","Silurus glanis",104,"total length","cm",,"","","g","M","","stroomaf 2 bruggen meest SA bocht",,"2014-04-24 15:15:00"," ; durif_index : ","wild","INTERNAL TAGGING","","","","","2014-04-23 00:00:00",302,50.991416,5.028444,50.9912632,5.049155,"2016-02-02 11:28:21","2016-02-02 11:28:21","thv receiver SA_GB_RODEMER",,"","",,"","",8750,"2017-08-25","",21,"Demer","Demer 2014","demer2014",1,3987
"A69-1601-29941","internal","V13-1x","A69-1601-29941","DAVID BUYSSE","INST. VORR NATUUR-&",80,160,"069k","animal",20,"","Anguilla anguilla",77.9,"total length","cm",8.72,"horizontal eye diameter","mm","g","F","FIII","GROTE GEUL",,"2012-08-08 00:00:00"," ; durif_index : 129.71242","wild","INTERNAL TAGGING","GROTE GEUL","2012-08-08","Clove oil","0.3ml/L","2012-08-08 14:09:39",236,51.245292,3.748107,51.245292,3.748107,"2016-02-02 11:28:21","2016-02-02 11:28:21","GROTE GEUL",8.41,"vertical eye diameter","mm",39.25,"pectoral fin","mm",817.3,"2015-08-30","FYKE NETS",15,"Boekhoute","Leopoldkanaal 2012","leopold2012",1,7
"A69-1601-33126","internal","V9-2x","A69-1601-33126","ANS MOUTON","INST. VOOR NATUUR-EN",20,40,"069k","animal",60,"","Alosa fallax",33.9,"total length","cm",,"","","g","","","Branst",,"2015-04-22 07:35:00"," ; durif_index : ","wild","EXTERNAL TAGGING","","","","","2015-04-22 00:00:00",591,51.07114082,4.18586039,51.07114082,4.18586039,"2016-02-02 11:28:21","2016-02-02 11:28:21","Branst",,"","",,"","",325,"2015-09-01","",23,"Fint2015","Zeeschelde 2015","zeeschelde2015",1,152
"A69-1601-34454","internal","V7-4x","A69-1601-34454","ANS MOUTON","INST. VOOR NATUUR-EN",40,80,"069k","animal",70,"","Platichthys flesus",26.1,"total length","cm",,"","","g","","","Rotselaar Demer",,"2015-09-25 00:00:00"," ; durif_index : ","wild","INTERNAL TAGGING","","","","","2015-09-25 00:00:00",567,50.970103,4.72155,51.02483717,4.495207458,"2016-02-02 11:28:21","2016-02-02 11:28:21","M-4 (LO)",,"","",,"","",282,"2016-04-09","",22,"Mechelen","Dijle 2015","dijle2015",0,11
"A69-1601-34455","internal","V7-4x","A69-1601-34455","ANS MOUTON","INST. VOOR NATUUR-EN",40,80,"069k","animal",70,"","Platichthys flesus",29.8,"total length","cm",,"","","g","","","Rotselaar Demer",,"2015-09-24 00:00:00"," ; durif_index : ","wild","INTERNAL TAGGING","","","","","2015-09-24 00:00:00",568,50.970103,4.72155,51.02483717,4.495207458,"2016-02-02 11:28:21","2016-02-02 11:28:21","M-4 (LO)",,"","",,"","",272.8,"2016-04-08","",22,"Mechelen","Dijle 2015","dijle2015",0,4
"A69-1601-34456","internal","V7-4x","A69-1601-34456","ANS MOUTON","INST. VOOR NATUUR-EN",40,80,"069k","animal",70,"","Platichthys flesus",31.5,"total length","cm",,"","","g","","","SA stuw Mechelen",,"2015-09-24 00:00:00"," ; durif_index : ","wild","INTERNAL TAGGING","","","","","2015-09-24 00:00:00",569,51.02483717,4.495207458,51.02483717,4.495207458,"2016-02-02 11:28:21","2016-02-02 11:28:21","M-4 (LO)",,"","",,"","",376,"2016-04-08","",22,"Mechelen","Dijle 2015","dijle2015",0,164
