"id","locationID","startDate","endDate","decimalLatitude","decimalLongitude","receiver","receiverOwnerInstitutionCode","receiverStatus"
1736,"M-6","2015-04-17","","51.0554657","4.4428656","VR2W-122320","","discontinued"
1737,"M-6","2015-05-15","","51.0554657","4.4428656","VR2W-122320","","discontinued"
1738,"M-6","2015-05-28","","51.0554657","4.4428656","VR2W-122320","","discontinued"
1739,"M-6","2015-09-24","","51.0554657","4.4428656","VR2W-122320","","discontinued"
1401,"ak-28","2015-12-05","","51.0966840","5.1087840","VR2W-122326","","active"
1593,"de-7","2014-12-19","","50.9909004","5.0310774","VR2W-122320","","discontinued"
1734,"de-7","2015-01-07","","50.9909004","5.0310774","VR2W-122320","","discontinued"
1735,"de-7","2015-01-23","","50.9909004","5.0310774","VR2W-122320","","discontinued"
1454,"ma-2","2015-03-02","","50.8654720","5.6977440","VR2W-120095","","active"
1495,"s-3","2015-03-31","","51.0434000","4.0478300","VR2W-122325","","active"
1533,"ws-PPB","2015-01-22","","51.3536136","3.7376409","VR2W-120887","INBO","active"
1732,"ws-PPB","2015-04-15","","51.3536136","3.7376409","VR2W-120887","INBO","active"
1535,"ws-PPC","2015-02-10","","51.3533390","3.7522275","VR2W-120885","INBO","active"
1730,"ws-PPC","2015-04-15","","51.3533390","3.7522275","VR2W-120885","INBO","active"
