"type","language","license","rightsHolder","accessRights","datasetID","institutionCode","datasetName","basisOfRecord","informationWithheld","dynamicProperties","occurrenceID","sex","organismID","eventDate","locationID","decimalLatitude","decimalLongitude","geodeticDatum","georeferenceSources","georeferenceVerificationStatus","scientificName","kingdom","taxonRank"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","VLIZ","http://www.inbo.be/en/norms-for-data-use","","VLIZ","Acoustic telemetry tracking data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS)","MachineObservation","see metadata","{""transmitter"":""A69-1601-13730"", ""receiver"":""VR2W-120887""}","etn:lifewatch:23235428","","A56","2015-08-18T15:04:10Z","ws-PPB","51.3536136","3.7376409","WGS84","GPS","unverified","Gadus morhua","Animalia","species"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","VLIZ","http://www.inbo.be/en/norms-for-data-use","","VLIZ","Acoustic telemetry tracking data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS)","MachineObservation","see metadata","{""transmitter"":""A69-1601-13730"", ""receiver"":""VR2W-120887""}","etn:lifewatch:23235429","","A56","2015-08-18T15:08:50Z","ws-PPB","51.3536136","3.7376409","WGS84","GPS","unverified","Gadus morhua","Animalia","species"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","VLIZ","http://www.inbo.be/en/norms-for-data-use","","VLIZ","Acoustic telemetry tracking data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS)","MachineObservation","see metadata","{""transmitter"":""A69-1601-13730"", ""receiver"":""VR2W-120887""}","etn:lifewatch:23235430","","A56","2015-08-18T15:11:16Z","ws-PPB","51.3536136","3.7376409","WGS84","GPS","unverified","Gadus morhua","Animalia","species"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","VLIZ","http://www.inbo.be/en/norms-for-data-use","","VLIZ","Acoustic telemetry tracking data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS)","MachineObservation","see metadata","{""transmitter"":""A69-1601-13730"", ""receiver"":""VR2W-120887""}","etn:lifewatch:23235431","","A56","2015-08-18T15:13:06Z","ws-PPB","51.3536136","3.7376409","WGS84","GPS","unverified","Gadus morhua","Animalia","species"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","VLIZ","http://www.inbo.be/en/norms-for-data-use","","VLIZ","Acoustic telemetry tracking data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS)","MachineObservation","see metadata","{""transmitter"":""A69-1601-13730"", ""receiver"":""VR2W-120887""}","etn:lifewatch:23235432","","A56","2015-08-18T15:15:42Z","ws-PPB","51.3536136","3.7376409","WGS84","GPS","unverified","Gadus morhua","Animalia","species"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","VLIZ","http://www.inbo.be/en/norms-for-data-use","","VLIZ","Acoustic telemetry tracking data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS)","MachineObservation","see metadata","{""transmitter"":""A69-1601-13730"", ""receiver"":""VR2W-120887""}","etn:lifewatch:23235433","","A56","2015-08-18T15:17:50Z","ws-PPB","51.3536136","3.7376409","WGS84","GPS","unverified","Gadus morhua","Animalia","species"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","VLIZ","http://www.inbo.be/en/norms-for-data-use","","VLIZ","Acoustic telemetry tracking data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS)","MachineObservation","see metadata","{""transmitter"":""A69-1601-13730"", ""receiver"":""VR2W-120887""}","etn:lifewatch:23235434","","A56","2015-08-18T15:19:03Z","ws-PPB","51.3536136","3.7376409","WGS84","GPS","unverified","Gadus morhua","Animalia","species"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","VLIZ","http://www.inbo.be/en/norms-for-data-use","","VLIZ","Acoustic telemetry tracking data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS)","MachineObservation","see metadata","{""transmitter"":""A69-1601-13730"", ""receiver"":""VR2W-120887""}","etn:lifewatch:23235435","","A56","2015-08-18T15:20:24Z","ws-PPB","51.3536136","3.7376409","WGS84","GPS","unverified","Gadus morhua","Animalia","species"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","VLIZ","http://www.inbo.be/en/norms-for-data-use","","VLIZ","Acoustic telemetry tracking data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS)","MachineObservation","see metadata","{""transmitter"":""A69-1601-13730"", ""receiver"":""VR2W-120887""}","etn:lifewatch:23235436","","A56","2015-08-18T15:22:04Z","ws-PPB","51.3536136","3.7376409","WGS84","GPS","unverified","Gadus morhua","Animalia","species"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","VLIZ","http://www.inbo.be/en/norms-for-data-use","","VLIZ","Acoustic telemetry tracking data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS)","MachineObservation","see metadata","{""transmitter"":""A69-1601-13730"", ""receiver"":""VR2W-120887""}","etn:lifewatch:23235437","","A56","2015-08-18T15:24:19Z","ws-PPB","51.3536136","3.7376409","WGS84","GPS","unverified","Gadus morhua","Animalia","species"
