deployment_id,receiver_id,acoustic_project_code,station_name,station_description,station_manager,deploy_date_time,deploy_latitude,deploy_longitude,intended_latitude,intended_longitude,mooring_type,bottom_depth,riser_length,deploy_depth,battery_installation_date,battery_estimated_end_date,activation_date_time,recover_date_time,recover_latitude,recover_longitude,download_date_time,download_file_name,valid_data_until_date_time,sync_date_time,time_drift,ar_battery_installation_date,ar_confirm,transmit_profile,transmit_power_output,log_temperature_stats_period,log_temperature_sample_period,log_tilt_sample_period,log_noise_stats_period,log_noise_sample_period,log_depth_stats_period,log_depth_sample_period,comments
1565,VR2W-122327,albert,ak-2,1,INBO,2014-04-03T00:00:00Z,50.618026,5.591871,,,surface-buoy,,,,,2016-09-29T00:00:00Z,,2014-11-12T00:00:00Z,,,2014-11-12T00:00:00Z,VR2W_122327_20141112_1.csv,,,,,,,,,,,,,,,Michael
2848,VR2W-122327,albert,ak-2,1,INBO,2014-11-12T00:00:00Z,50.618026,5.591871,,,,,,,,2016-09-29T00:00:00Z,,2015-09-29T00:00:00Z,,,2015-09-29T00:00:00Z,VR2W_122327_20150929_1.csv,,,,,,,,,,,,,,,
2849,VR2W-122327,albert,ak-2,1,INBO,2015-09-29T00:00:00Z,50.618026,5.591871,,,,,,,,2016-09-29T00:00:00Z,,2015-12-24T00:00:00Z,,,,,,,,,,,,,,,,,,,Bij controle eind 2015 was de receiver weg.
1574,VR2W-122328,albert,ak-3,2,INBO,2014-04-03T00:00:00Z,50.62285,5.580676,,,surface-buoy,,,,,2016-09-29T00:00:00Z,,2014-11-12T00:00:00Z,,,2014-11-12T00:00:00Z,VR2W_122328_20141112_1.csv,,,,,,,,,,,,,,,Michael
2850,VR2W-122328,albert,ak-3,2,INBO,2014-11-12T00:00:00Z,50.62285,5.580676,,,surface-buoy,,,,,2016-09-29T00:00:00Z,,2015-09-29T00:00:00Z,,,2015-09-29T00:00:00Z,VR2W_122328_20150929_1.csv,,,,,,,,,,,,,,,
1559,VR2W-124067,albert,ak-10,10,INBO,2014-04-03T00:00:00Z,50.654402,5.622823,,,surface-buoy,,,,,2016-09-29T00:00:00Z,,2014-11-12T00:00:00Z,,,2014-11-12T00:00:00Z,VR2W_124067_20141112_1.csv,,,,,,,,,,,,,,,Michael
2953,VR2W-124067,albert,ak-10,10,INBO,2014-11-12T00:00:00Z,50.654402,5.622823,,,,,,,,2016-09-29T00:00:00Z,,2015-09-29T00:00:00Z,,,2015-09-29T00:00:00Z,VR2W_124067_20150929_1.csv,,,,,,,,,,,,,,,
1560,VR2W-122366,albert,ak-11,9,INBO,2014-04-03T00:00:00Z,50.65697,5.626992,,,surface-buoy,,,,,2016-09-29T00:00:00Z,,2014-11-12T00:00:00Z,,,2014-11-12T00:00:00Z,VR2W_122366_20141112_1.csv,,,,,,,,,,,,,,,Michael
2936,VR2W-122366,albert,ak-11,9,INBO,2014-11-12T00:00:00Z,50.65697,5.626992,,,,,,,,2016-09-29T00:00:00Z,,2015-09-29T00:00:00Z,,,2015-09-29T00:00:00Z,VR2W_122366_20150929_1.csv,,,,,,,,,,,,,,,
1561,VR2W-124068,albert,ak-13,11,INBO,2014-04-03T00:00:00Z,50.702052,5.67876,,,surface-buoy,,,,,2016-09-29T00:00:00Z,,2015-09-29T00:00:00Z,,,2015-09-29T00:00:00Z,VR2W_124068_20150929_1.csv,,,,,,,,,,,,,,,Michael
2955,VR2W-124068,albert,ak-13,11,INBO,2015-09-29T00:00:00Z,50.702052,5.67876,,,,,,,,2016-09-29T00:00:00Z,,2015-12-24T00:00:00Z,,,,,,,,,,,,,,,,,,,Bij controle eind 2015 was de receiver verdwenen
1562,VR2W-124069,albert,ak-14,12,INBO,2014-04-03T00:00:00Z,50.714109,5.672638,,,surface-buoy,,,,,2016-09-29T00:00:00Z,,2015-09-04T00:00:00Z,,,,,,,,,,,,,,,,,,,"Receiver kwijt, Michael"
3290,VR2W-122157,albert,ak-14,12,INBO,2015-09-04T00:00:00Z,50.714109,5.672638,,,surface-buoy,,,,,2016-09-29T00:00:00Z,,2015-09-29T00:00:00Z,,,2015-09-29T00:00:00Z,VR2W_122157_20150929_1.csv,,,,,,,,,,,,,,,Michael
3291,VR2W-122157,albert,ak-14,12,INBO,2015-09-29T00:00:00Z,50.714109,5.672638,,,,,,,,2016-09-29T00:00:00Z,,2016-04-18T00:00:00Z,,,2016-04-18T00:00:00Z,VR2W_122157_20160418_1.csv,,,,,,,,,,,,,,,
1581,VR2W-124072,albert,ak-15,13,INBO,2014-04-03T00:00:00Z,50.746608,5.689263,,,surface-buoy,,,,,2016-10-15T00:00:00Z,,2014-11-14T00:00:00Z,,,,,,,,,,,,,,,,,,,Michael
3255,VR2W-124072,albert,ak-15,13,INBO,2014-11-14T00:00:00Z,50.746608,5.689263,,,surface-buoy,,,,,2016-10-15T00:00:00Z,,2016-05-31T00:00:00Z,,,,,,,,,,,,,,,,,,,"Michael, Bij controle mei 2016 was de receiver verdwenen"
1582,VR2W-124074,albert,ak-16,14,INBO,2014-04-03T00:00:00Z,50.75531,5.682348,,,surface-buoy,,,,,2016-10-15T00:00:00Z,,2014-11-12T00:00:00Z,,,2014-11-12T00:00:00Z,,,,,,,,,,,,,,,,Michael
1563,VR2W-124077,albert,ak-17,16,INBO,2014-04-03T00:00:00Z,50.807726,5.674801,,,surface-buoy,,,,,2016-09-29T00:00:00Z,,2014-05-16T00:00:00Z,,,2014-05-16T00:00:00Z,VR2W_124077_20140516_1.csv,,,,,,,,,,,,,,,Michael
2956,VR2W-124077,albert,ak-17,16,INBO,2014-05-16T00:00:00Z,50.807726,5.674801,,,,,,,,2016-09-29T00:00:00Z,,2014-11-12T00:00:00Z,,,2014-11-12T00:00:00Z,VR2W_124077_20141112_1.csv,,,,,,,,,,,,,,,
2957,VR2W-124077,albert,ak-17,16,INBO,2014-11-12T00:00:00Z,50.807726,5.674801,,,,,,,,2016-09-29T00:00:00Z,,2015-09-29T00:00:00Z,,,2015-09-29T00:00:00Z,VR2W_124077_20150929_1.csv,,,,,,,,,,,,,,,
2958,VR2W-124077,albert,ak-17,16,INBO,2015-09-29T00:00:00Z,50.807726,5.674801,,,,,,,,2016-09-29T00:00:00Z,,2016-02-12T00:00:00Z,,,2016-02-12T00:00:00Z,VR2W_124077_20160212_1.csv,,,,,,,,,,,,,,,
2959,VR2W-124077,albert,ak-17,16,INBO,2016-02-12T00:00:00Z,50.807726,5.674801,,,surface-buoy,,,,,2016-09-29T00:00:00Z,,2017-10-26T00:00:00Z,,,,,,,,,,,,,,,,,,,
